Stn Id,Stn Name,CIMIS Region,Month Year,Total ETo (in),qc,Total Precip (in),qc,Avg Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Avg Max Air Temp (F),qc,Avg Min Air Temp (F),qc,Avg Air Temp (F),qc,Avg Max Rel Hum (%),qc,Avg Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Avg Dew Point (F),qc,Avg Wind Speed (mph),qc,Avg Soil Temp (F),qc
129,Pajaro,Monterey Bay,Jan-21,1.88, ,5.42, ,224, ,9.3,K,62.9,K,39.7,K,50.6,K,94, ,52, ,75,K,42,K,3.6,K,52.5, 
129,Pajaro,Monterey Bay,Feb-21,2.34, ,0.98, ,324,K,9.1,K,62.5, ,37.2, ,49.7, ,97, ,49, ,76,K,41.8,K,3.2, ,52.8, 
129,Pajaro,Monterey Bay,Mar-21,3.74,K,2.75, ,441,K,8.9,K,61.7,K,37,K,49.6,K,96, ,50, ,74,K,41.3,K,3.8, ,54.6, 
129,Pajaro,Monterey Bay,Apr-21,4.35,K,0.2, ,523,K,10.5, ,61.6,K,44.1, ,52.5,K,94, ,62, ,78,K,45.8,K,4.7,K,59.6, 
129,Pajaro,Monterey Bay,May-21,5.32, ,0.07, ,606, ,11.6,K,64.5, ,46.8,K,54.8, ,94, ,63, ,79,K,48.4,K,4.8, ,64, 
129,Pajaro,Monterey Bay,Jun-21,5.71,K,0.02, ,632, ,13.7, ,68.1,K,51.2,K,59.1,K,94, ,64, ,80,K,52.8,K,5, ,68.3, 
129,Pajaro,Monterey Bay,Jul-21,5.01, ,0.08, ,554, ,14.6, ,65.7, ,54.5, ,58.8, ,96, ,74, ,86, ,54.7, ,4.7, ,70.4, 
129,Pajaro,Monterey Bay,Aug-21,4.28, ,0.06, ,472, ,15.6, ,67.3, ,56.2, ,60.5, ,96, ,74, ,86, ,56.5, ,4.3, ,71.1, 
129,Pajaro,Monterey Bay,Sep-21,3.97, ,0.06, ,445, ,14.7, ,69.3,K,53.9, ,59.9, ,96, ,66, ,84, ,54.8, ,3.8, ,70.3, 
129,Pajaro,Monterey Bay,Oct-21,3.41, ,5.72, ,356,K,12.2,K,70, ,47.3, ,57.6, ,95, ,52, ,77,L,49.9,L,3.6,K,64.8, 
129,Pajaro,Monterey Bay,Nov-21,2.28, ,1.55, ,275, ,12,K,71,K,47,K,57.1, ,94, ,51, ,75,K,48.9,K,3, ,60.9,K
129,Pajaro,Monterey Bay,Dec-21,1.3,K,2.73, ,179,K,10.1, ,58.1,K,40.6, ,49.1, ,97, ,64, ,84, ,44.5, ,3.1,K,53.5, 
129,Pajaro,Monterey Bay,Jan-22,2.03, ,0.14, ,250, ,9.5, ,64.6, ,40.7, ,51.1, ,94, ,49, ,74, ,42.7, ,2.9, ,52.4, 
129,Pajaro,Monterey Bay,Feb-22,2.99,K,0.02, ,366,K,7.4,K,67.7,K,37,K,51.1,K,86, ,32, ,58,K,36.2,K,3.4, ,53.1, 
129,Pajaro,Monterey Bay,Mar-22,3.67,K,1.8, ,432,K,10,K,64.2,K,41.2, ,52, ,94, ,51, ,75,K,44.1,K,3.5, ,55.9, 
129,Pajaro,Monterey Bay,Apr-22,4.87,K,0.98,K,557,K,10.4,K,65.3,L,43.6, ,53.9,L,95,K,51,K,74,L,45.6,L,4.1, ,58.6, 
129,Pajaro,Monterey Bay,May-22,5.85,K,0, ,649,K,11.2,K,67.3, ,45,K,55.6,K,94, ,52, ,74,K,47.2,K,4.1, ,63.5, 
129,Pajaro,Monterey Bay,Jun-22,6.02,K,0.03, ,661, ,13.5,K,71.4,K,50.3, ,59.9,K,94,K,57,K,78,L,52.1,L,3.9, ,69.7, 
129,Pajaro,Monterey Bay,Jul-22,4.66,L,0.01,K,596,K,14.6,K,70.7,K,53.3,K,60.5, ,96, ,64, ,81,K,54.7,K,4.3, ,72.5, 
129,Pajaro,Monterey Bay,Aug-22,,N,0.04, ,549, ,15.3, ,79,L,52.5,K,63.2,K,98,K,55,K,78,L,56,L,4.3, ,73, 
129,Pajaro,Monterey Bay,Sep-22,,N,1.6, ,460, ,15.7,K,83.5,L,52.1, ,64.9,K,97,K,49,K,77,L,56.6,L,3.9, ,71.5,K
129,Pajaro,Monterey Bay,Oct-22,,N,0.09, ,315, ,13.1, ,78.2,L,46,K,58.2,K,99,K,50,K,79,K,51.5,K,3.2, ,65.3, 
129,Pajaro,Monterey Bay,Nov-22,,N,3.66, ,278,K,8.9, ,76.4,K,34.6,K,50.4,K,98, ,37, ,72,K,41,K,3.1, ,55.9, 
129,Pajaro,Monterey Bay,Dec-22,,N,13.62,K,171, ,10.5,K,62, ,40.2, ,49.5, ,98, ,64, ,86,K,45.4,K,3.4, ,51.9, 
129,Pajaro,Monterey Bay,Jan-23,,N,8.81,K,214,K,9.6,K,59.2,K,41.3, ,49.9,K,95,K,57,K,77, ,42.8, ,4.3,K,51.9,K
129,Pajaro,Monterey Bay,Feb-23,,N,4.55,K,297,K,8.2, ,59, ,36.3, ,46.9,K,95, ,52, ,75,K,39.1,K,3.8, ,50.2, 
129,Pajaro,Monterey Bay,Mar-23,,N,8.31,K,375,K,9.9, ,57.6,K,41.8,K,49.3,K,96, ,63, ,81,K,43.8,K,4.5,K,53.1,K
129,Pajaro,Monterey Bay,Apr-23,,N,0.07, ,554,K,10.4,K,63.2, ,42.6, ,52.3,K,95, ,55, ,77,K,45.3,K,3.9, ,57.9,K
129,Pajaro,Monterey Bay,May-23,,N,0.91, ,491, ,12.3, ,63.1, ,49.5, ,55.2, ,95, ,68, ,83, ,50.1, ,4.5,K,65, 
129,Pajaro,Monterey Bay,Jun-23,,N,0.11, ,507, ,13.2, ,65.7, ,52.3,K,57.7, ,93, ,68, ,81, ,51.9, ,4.4, ,68.9, 
129,Pajaro,Monterey Bay,Jul-23,,N,0, ,634, ,14.1, ,69.9, ,51.8,K,59, ,95, ,66, ,83, ,53.8, ,3.8, ,74.7,K
129,Pajaro,Monterey Bay,Aug-23,,N,0.02, ,500, ,16.1, ,72.1,K,55.8,K,62.3,K,95, ,67, ,84,K,57.3,K,4, ,75,K
129,Pajaro,Monterey Bay,Sep-23,,N,0.11, ,402, ,15.3, ,70.5, ,54.3, ,61.3, ,95, ,66, ,83, ,56, ,3.8,K,72.1,K
129,Pajaro,Monterey Bay,Oct-23,,N,0.24, ,375,K,13.2,K,76.1,K,49, ,59.8,L,95, ,48, ,75,L,51,L,3.1, ,67.7,K
129,Pajaro,Monterey Bay,Nov-23,,N,2.29, ,273,K,10.6,K,71,K,43.5, ,55.3, ,92, ,41, ,70,K,45.2,K,3, ,59.6,K
129,Pajaro,Monterey Bay,Dec-23,,N,4.26, ,192, ,11.1,K,64.5,K,42.8, ,52.3, ,95, ,60, ,82,K,46.7,K,2.8, ,55,K
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
